EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,button-press-topdown-v1_success_rate,button-press-topdown-v1_eval_rewards,door-v1_success_rate,door-v1_eval_rewards,drawer-close-v1_success_rate,drawer-close-v1_eval_rewards,drawer-open-v1_success_rate,drawer-open-v1_eval_rewards,ped-insert-side-v1_success_rate,ped-insert-side-v1_eval_rewards,pick-place-v1_success_rate,pick-place-v1_eval_rewards,push-v1_success_rate,push-v1_eval_rewards,reach-v1_success_rate,reach-v1_eval_rewards,window-close-v1_success_rate,window-close-v1_eval_rewards,window-open-v1_success_rate,window-open-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,alpha_2_Mean,alpha_2_Std,alpha_2_Max,alpha_2_Min,alpha_3_Mean,alpha_3_Std,alpha_3_Max,alpha_3_Min,alpha_4_Mean,alpha_4_Std,alpha_4_Max,alpha_4_Min,alpha_5_Mean,alpha_5_Std,alpha_5_Max,alpha_5_Min,alpha_6_Mean,alpha_6_Std,alpha_6_Max,alpha_6_Min,alpha_7_Mean,alpha_7_Std,alpha_7_Max,alpha_7_Min,alpha_8_Mean,alpha_8_Std,alpha_8_Max,alpha_8_Min,alpha_9_Mean,alpha_9_Std,alpha_9_Max,alpha_9_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_prob_2_Mean,log_prob_2_Std,log_prob_2_Max,log_prob_2_Min,log_prob_3_Mean,log_prob_3_Std,log_prob_3_Max,log_prob_3_Min,log_prob_4_Mean,log_prob_4_Std,log_prob_4_Max,log_prob_4_Min,log_prob_5_Mean,log_prob_5_Std,log_prob_5_Max,log_prob_5_Min,log_prob_6_Mean,log_prob_6_Std,log_prob_6_Max,log_prob_6_Min,log_prob_7_Mean,log_prob_7_Std,log_prob_7_Max,log_prob_7_Min,log_prob_8_Mean,log_prob_8_Std,log_prob_8_Max,log_prob_8_Min,log_prob_9_Mean,log_prob_9_Std,log_prob_9_Max,log_prob_9_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
97,8.638558626174927,236000,20994.24829,331728.06233,24040.50061,0.00358,8.63030,0.00459,0.00000,-81.53948,0.00000,-90.65169,0.00000,-23.43517,0.00000,-57.80721,0.00000,-78.85438,0.00000,-94.13571,0.00000,-67.19959,1.00000,210503.47279,0.00000,-44.94072,0.00000,-22.42598,0.10000,66.36773,5.88104,85.71974,52.06775,33.12563,0.26233,33.34848,32.63840,0.00656,0.00005,0.00664,0.00648,0.00662,0.00004,0.00669,0.00655,0.00570,0.00005,0.00577,0.00561,0.00759,0.00008,0.00769,0.00744,0.00534,0.00017,0.00564,0.00506,0.00858,0.00023,0.00898,0.00822,0.00591,0.00005,0.00598,0.00584,0.00714,0.00001,0.00716,0.00713,0.00585,0.00002,0.00590,0.00582,0.58081,3.20723,8.11556,-6.93102,-4591.11905,230.89368,-3954.35474,-5158.26660,172449.13648,80733.27123,681157.81250,65486.63281,147407.88906,55483.56477,403295.21875,61095.68750,808.94497,406.50466,2359.47998,193.06654,58533377.67000,28869756.22017,183785520.00000,10157137.00000,40924632.35500,21016848.09509,118175304.00000,10661218.00000,-0.25366,0.04330,-0.15880,-0.32828,0.42785,0.02856,0.53596,0.38150,1.04251,0.22619,1.49325,0.61469,-3.46835,0.73285,-1.94990,-5.24177,4.17085,0.71053,6.48769,2.37015,5.21695,1.16886,8.30558,2.95808,4.91342,0.60412,6.58476,3.50996,5.14601,0.80635,7.33735,3.50832,5.64412,1.28334,8.74152,3.72015,-1.85782,0.58794,0.31401,-2.53192,7.73095,1.55983,10.82747,3.93177,3.07133,1.63184,9.04347,0.06523,4.08053,0.58015,5.30333,2.71289,3.80901,1.56010,7.15495,0.36876,4.19253,0.61642,5.66430,2.89223,4.05410,0.22074,4.73535,3.67489,17.62853,3.50666,32.13381,12.60236,-7.13763,1.22024,-4.73661,-11.43184,-0.17597,0.11807,0.05694,-0.43657,1.72576,0.10181,1.97187,1.51792,3.36427,0.36828,4.25050,2.57369,-5.04287,0.93835,-3.31039,-7.19824
98,8.770939111709595,238000,22399.81238,281226.06066,16174.27397,0.00376,8.76301,0.00411,0.00000,-31.22563,0.00000,-89.93065,0.00000,-24.44914,0.00000,-57.19862,0.00000,-77.94838,0.00000,-84.89213,0.00000,-67.34143,1.00000,223859.92650,0.00000,-21.54707,0.00000,592.73039,0.10000,66.85362,6.55713,83.19265,50.01750,33.34872,0.23387,33.83748,33.08467,0.00671,0.00005,0.00682,0.00664,0.00674,0.00003,0.00681,0.00669,0.00581,0.00003,0.00587,0.00577,0.00775,0.00004,0.00785,0.00769,0.00484,0.00012,0.00506,0.00465,0.00936,0.00021,0.00975,0.00899,0.00593,0.00010,0.00615,0.00584,0.00716,0.00001,0.00719,0.00714,0.00595,0.00005,0.00606,0.00586,2.60498,4.88915,11.51802,-8.85771,-4714.23708,235.78747,-4075.04541,-5264.99854,141423.74605,76457.74283,756704.81250,66186.09375,136148.09344,44657.59627,307770.21875,62948.53125,961.20728,481.69886,2904.07153,189.46831,41612602.60000,26417200.33060,190125184.00000,13419738.00000,37782277.30000,17552049.88261,96340752.00000,10232200.00000,-0.17694,0.04593,-0.10012,-0.30036,0.43605,0.03425,0.50314,0.34870,1.11786,0.27656,1.66588,0.54798,-3.24741,0.38465,-2.00499,-3.96584,4.20335,0.60948,6.04731,2.53711,5.28704,1.41043,8.16354,2.02135,4.64868,1.52501,7.58719,1.00209,4.68731,0.80072,6.19799,2.03953,4.95086,1.33053,7.52605,1.80756,-1.43304,0.60741,0.09433,-2.41333,7.98093,1.55679,10.53491,3.59128,6.24132,2.31037,10.80881,2.10094,4.29831,0.65663,5.52511,2.79516,5.23551,1.33826,7.88900,2.40888,4.61003,1.01211,6.59519,2.23174,4.06469,0.40803,4.77986,3.11933,16.84844,2.38368,23.15745,10.99280,-7.25986,1.36979,-4.52450,-11.40621,-0.10048,0.12438,0.11722,-0.39941,1.80767,0.15520,2.09163,1.43771,3.69067,0.31795,4.37784,3.10695,-4.34059,0.40433,-3.41095,-5.43256
99,8.385427951812744,240000,17966.29188,302848.53914,21627.73545,0.02008,8.36126,0.00405,0.00000,-76.43122,0.00000,-89.57208,0.00000,-47.45963,0.00000,-59.75317,0.00000,-82.73269,0.00000,-110.69467,0.00000,-67.86947,1.00000,179070.67228,0.00000,-46.41948,0.00000,1173.17894,0.10000,67.42506,5.98126,83.41682,52.90209,33.83962,0.04701,33.95174,33.77965,0.00698,0.00009,0.00716,0.00682,0.00701,0.00012,0.00725,0.00681,0.00601,0.00009,0.00618,0.00587,0.00800,0.00009,0.00819,0.00785,0.00452,0.00006,0.00465,0.00444,0.01032,0.00033,0.01090,0.00975,0.00645,0.00016,0.00676,0.00616,0.00735,0.00011,0.00756,0.00719,0.00621,0.00007,0.00634,0.00606,10.35973,4.83189,24.70263,1.87721,-4803.00300,227.17602,-4195.22803,-5371.29785,160862.14549,82285.43858,669362.31250,55835.17578,177985.49723,73842.63972,484873.71875,66520.91406,876.80218,436.34305,2554.46387,162.47231,51128683.16500,30480485.81744,176021072.00000,10365307.00000,53192191.26500,26781817.19300,143606416.00000,11299385.00000,-0.25715,0.07754,-0.11838,-0.45683,0.43331,0.03583,0.50827,0.35923,0.99203,0.20023,1.30312,0.54693,-2.14778,0.25033,-1.66916,-3.23162,3.98367,0.51324,5.43881,2.64231,6.35906,1.42994,10.52353,3.48480,6.60102,1.23706,9.54843,4.38736,5.95174,1.13366,9.93976,3.93392,6.08443,1.15982,9.17710,4.24249,1.14369,1.70604,4.65793,-1.25008,10.83305,1.58748,15.91745,8.25152,8.64174,1.64429,13.27910,5.71478,6.16533,1.26084,9.47660,4.07880,5.77015,1.55844,10.65933,2.99026,6.15339,1.01099,9.20091,4.38984,4.28878,0.39801,5.51637,3.56315,18.96733,2.31388,24.91021,14.29584,-6.82423,1.19846,-4.70417,-11.38147,-0.12752,0.13296,0.18489,-0.45494,2.02848,0.15498,2.46399,1.76256,3.98342,0.36845,4.59822,3.15223,-4.61728,0.41606,-3.57945,-5.35877
100,8.556602954864502,242000,21329.76390,233964.86869,20477.46038,0.09269,8.45968,0.00418,0.00000,-67.00409,0.00000,-91.46785,0.00000,-52.19252,0.00000,-59.78064,0.00000,-83.80154,0.00000,-110.75269,0.00000,-68.39442,1.00000,213931.23165,0.00000,-46.31663,0.00000,-53.88226,0.10000,68.56996,6.18842,85.03462,52.83059,33.81270,0.08142,33.92282,33.57467,0.00737,0.00013,0.00764,0.00717,0.00751,0.00016,0.00786,0.00726,0.00627,0.00004,0.00639,0.00618,0.00841,0.00014,0.00874,0.00820,0.00443,0.00002,0.00445,0.00440,0.01152,0.00032,0.01213,0.01091,0.00709,0.00021,0.00751,0.00676,0.00772,0.00010,0.00795,0.00756,0.00644,0.00004,0.00652,0.00634,13.69014,6.35247,28.30556,0.13719,-4897.03135,254.44706,-4185.39209,-5626.11084,151956.59941,48080.62465,372187.93750,73692.32812,175336.64813,64692.55572,396487.25000,68736.20312,855.19380,443.65474,3342.47705,241.86482,45505362.36500,21606128.64508,124559048.00000,12222209.00000,52423399.72250,24140202.78658,126493208.00000,7288099.50000,-0.42045,0.10687,-0.26128,-0.71967,0.40708,0.06978,0.53724,0.31784,1.16252,0.36034,1.80314,0.25809,-2.48270,0.58985,-1.50723,-3.62970,3.91010,0.60664,5.17657,2.50602,7.10934,1.72600,10.14480,3.03880,7.50554,1.94029,10.93370,3.32564,5.26425,1.39942,9.33983,2.72533,7.07483,1.83780,10.64848,3.21498,3.77373,2.21652,9.04733,0.01415,12.52221,3.60303,20.36658,5.94369,10.46017,2.35074,14.74360,5.26319,6.16094,1.33504,9.56719,3.98014,4.76969,2.18132,9.49495,0.60971,6.85508,1.30595,9.90994,4.00148,4.52436,0.66817,6.11141,3.32849,21.25659,5.27143,36.65396,12.18751,-6.51556,1.46664,-3.82915,-15.74329,-0.09947,0.20974,0.43249,-0.46864,2.12662,0.19785,2.53001,1.64009,4.33764,0.83270,6.55172,2.62692,-6.14505,0.71466,-4.86507,-8.09105
101,8.349544763565063,244000,22212.27217,290704.76240,27496.16352,0.02052,8.32504,0.00394,0.00000,-53.10204,0.00000,-90.87333,0.00000,-56.17364,0.00000,-57.44954,0.00000,-84.19679,0.00000,-110.34341,0.00000,-68.70203,1.00000,222717.07255,0.00000,-19.34252,0.00000,-54.16754,0.10000,69.45654,5.71198,86.43555,55.05468,33.46553,0.09238,33.58297,33.24222,0.00794,0.00015,0.00817,0.00765,0.00821,0.00017,0.00849,0.00787,0.00676,0.00022,0.00712,0.00639,0.00908,0.00015,0.00929,0.00874,0.00463,0.00017,0.00493,0.00443,0.01268,0.00031,0.01320,0.01214,0.00791,0.00020,0.00822,0.00752,0.00838,0.00025,0.00877,0.00795,0.00640,0.00005,0.00649,0.00634,20.17374,3.91721,30.47611,13.65956,-5004.49191,248.21144,-4412.56348,-5705.29834,140328.71348,43115.76430,355767.43750,66500.36719,147759.32264,50237.45776,479136.50000,62718.86328,964.63907,526.49922,2879.49243,152.54062,38196034.08500,16234963.50321,98037712.00000,9305047.00000,40880860.42500,18779100.07536,130261248.00000,11308001.00000,-0.55649,0.05553,-0.43643,-0.64275,0.35372,0.06230,0.48446,0.23820,0.88652,0.25370,1.80321,0.39506,-3.06243,0.21767,-2.66020,-3.61605,3.91234,0.48390,5.07405,2.28380,7.21751,1.16867,10.61721,4.85722,7.70008,1.48871,11.03944,4.84003,8.59339,1.19982,11.19558,5.49906,6.92831,1.67014,11.24762,4.25533,12.80891,5.70468,28.21563,2.63844,11.81342,2.07672,16.89925,8.36829,10.50242,1.86791,15.63547,7.27237,8.60206,1.23773,11.35272,5.96833,3.28382,1.52259,6.70262,-0.08290,8.13623,0.80495,10.23878,6.58179,5.08109,0.91126,8.03053,4.08806,24.40628,4.60537,38.81739,17.90980,-6.36797,1.26330,-3.94864,-10.97240,0.40422,0.24445,0.76703,-0.15808,2.21181,0.13383,2.55914,1.98024,5.38057,0.94932,7.04035,3.67360,-5.14510,0.70616,-4.02026,-7.75661
102,8.178078651428223,246000,27794.60508,303284.33410,21510.22186,0.00630,8.16705,0.00464,0.00000,-86.51725,0.00000,-91.33645,0.00000,-63.16785,0.00000,-47.56176,0.00000,-83.84843,0.00000,-101.15900,0.00000,-69.33064,1.00000,278586.82006,0.00000,-43.34913,0.00000,-54.49873,0.10000,69.77304,5.84121,84.60927,54.82191,33.34526,0.13572,33.60976,33.13820,0.00852,0.00024,0.00891,0.00817,0.00898,0.00030,0.00948,0.00849,0.00743,0.00017,0.00771,0.00712,0.00969,0.00026,0.01014,0.00929,0.00516,0.00012,0.00535,0.00493,0.01373,0.00036,0.01443,0.01320,0.00858,0.00025,0.00901,0.00822,0.00909,0.00018,0.00941,0.00878,0.00634,0.00004,0.00638,0.00622,22.89967,3.65949,32.67838,16.34360,-5128.03376,238.22339,-4514.02051,-5617.31396,158075.88496,58084.13458,434754.50000,61677.91406,174910.28211,65063.71461,457698.31250,76689.55469,880.32077,462.27974,2557.42871,221.28645,46779677.31500,23839063.83438,130483848.00000,12114436.00000,48279466.37000,22786605.18670,130107288.00000,15890914.00000,-0.63508,0.03821,-0.56837,-0.72161,0.34720,0.03534,0.41580,0.24383,0.54263,0.26163,1.36073,0.13157,-3.07343,0.22991,-2.54335,-3.69819,4.11104,0.49446,5.20218,2.66435,8.73656,1.51126,12.29972,5.61131,10.46226,1.31587,14.02773,7.47614,7.88936,0.93595,9.90668,5.83873,8.73070,1.42885,12.41451,5.68043,12.10375,2.94096,19.95583,6.54319,13.85379,3.10494,18.95869,8.39500,11.92258,2.26208,17.05218,7.55554,7.63728,0.94626,9.64766,5.61337,3.14367,1.99960,6.54083,-1.37556,8.85910,0.81472,10.97447,7.12967,5.15551,0.59228,6.35291,4.01824,25.51916,3.86425,34.21394,16.58836,-6.20122,1.35445,-3.69154,-10.83478,0.21985,0.12733,0.47172,-0.06648,2.31343,0.11823,2.58647,2.07869,5.01816,0.70452,6.46906,3.79707,-5.88826,0.69180,-4.51236,-7.09942
103,8.95932936668396,248000,18337.27086,342335.55272,23646.25090,0.00385,8.95145,0.00399,0.00000,-40.69278,0.00000,-91.34091,0.00000,-85.76618,0.00000,-42.82582,0.00000,-88.69863,0.00000,-98.31407,0.00000,-72.98395,1.00000,183963.63616,0.00000,-15.89776,0.00000,-54.40743,0.10000,70.04712,6.20033,87.64237,54.95889,33.54423,0.12742,33.77845,33.34340,0.00918,0.00015,0.00945,0.00891,0.00993,0.00027,0.01038,0.00949,0.00801,0.00018,0.00833,0.00772,0.01060,0.00028,0.01107,0.01015,0.00554,0.00011,0.00573,0.00535,0.01503,0.00032,0.01560,0.01444,0.00939,0.00023,0.00978,0.00902,0.00974,0.00019,0.01007,0.00942,0.00617,0.00005,0.00626,0.00609,22.49694,3.80539,32.02100,15.63153,-5193.17802,258.83570,-4499.76123,-5805.43506,146617.68824,37004.99871,267113.21875,72705.35156,159691.17578,53301.12297,444105.00000,71780.15625,923.93704,493.84858,3117.93335,205.86029,40050377.44000,16657263.56771,100484168.00000,9326486.00000,45264449.96000,20553869.34908,142744704.00000,12879568.00000,-0.71484,0.07394,-0.57411,-0.83314,0.39029,0.04081,0.46849,0.29911,0.54981,0.40017,1.38817,-0.02892,-4.21205,0.45468,-3.51062,-5.14823,4.00562,0.57945,5.91152,2.72942,7.43427,1.55794,10.89454,3.85022,10.46138,1.30288,13.89166,7.96368,8.21314,1.15348,11.24102,6.04558,9.45689,1.41730,13.35639,6.51563,11.39916,1.96042,14.85970,6.84624,13.25949,1.32330,15.84988,9.78486,11.94992,1.63218,16.52574,9.11251,7.71501,0.98575,9.99586,5.79822,4.44792,2.78409,10.23571,-0.88006,8.83428,0.81938,10.93830,7.33562,5.02555,0.35748,5.90301,4.24234,31.56963,3.03506,36.92793,23.88175,-5.93093,1.37029,-3.40062,-10.72383,0.23147,0.11288,0.48582,-0.00362,2.28698,0.10510,2.51906,2.08326,4.96456,0.41809,5.89709,4.09526,-8.41680,0.63127,-6.67285,-9.98107
104,8.271000146865845,250000,21814.76112,263428.36882,16233.43935,0.00394,8.26301,0.00400,0.00000,-55.77429,0.00000,-91.09068,0.00000,-85.71181,0.00000,-40.84103,0.00000,-79.80791,0.00000,-76.34754,0.00000,-71.58282,1.00000,218716.23794,0.00000,-13.20333,0.00000,-54.26737,0.10000,71.23717,6.66966,89.36538,55.25229,33.54545,0.10130,33.71684,33.32338,0.00965,0.00008,0.00974,0.00945,0.01083,0.00025,0.01126,0.01039,0.00869,0.00020,0.00903,0.00834,0.01150,0.00025,0.01193,0.01107,0.00591,0.00010,0.00611,0.00573,0.01605,0.00028,0.01659,0.01561,0.01015,0.00020,0.01049,0.00978,0.01045,0.00022,0.01086,0.01008,0.00644,0.00010,0.00661,0.00626,21.09138,2.84831,29.35512,15.16046,-5310.08607,250.12880,-4701.70557,-5965.47900,159104.21391,67502.52461,574909.18750,73936.32812,167297.84738,62794.23963,485821.09375,68745.13281,860.54338,415.85474,3083.57642,267.48947,46324323.40000,25627450.63665,188323808.00000,14561722.00000,47939174.57000,23029128.75999,133542600.00000,13701588.00000,-0.66258,0.06495,-0.54500,-0.79713,0.33155,0.03398,0.40717,0.25717,0.33099,0.22965,0.97718,0.00513,-3.83145,0.35144,-2.60535,-4.82586,3.89861,0.54144,5.52449,2.63741,5.28862,2.01674,9.40286,1.31906,10.45674,1.62616,14.89435,7.13626,8.70551,1.13012,10.95039,6.12672,8.99649,1.51530,13.38498,5.85586,11.02512,2.53717,15.23140,4.46997,11.65682,2.64840,16.55862,5.05406,11.17480,1.82823,14.41998,7.56163,8.30299,1.17948,11.03149,5.45828,6.07119,0.97013,8.17225,3.88457,8.55769,0.69289,10.52156,7.03826,4.87580,0.43039,5.83687,4.12140,26.32970,3.22933,34.16244,16.61832,-5.90186,1.28974,-3.42101,-10.04205,0.43836,0.10819,0.68167,0.16481,2.26504,0.09974,2.49065,2.05559,6.16158,1.23267,10.05219,4.73693,-6.91378,1.02595,-4.42708,-9.47562
105,8.927984237670898,252000,22887.63810,294202.08114,20868.52560,0.05202,8.87201,0.00391,0.00000,-79.99500,0.00000,-91.37175,0.00000,-85.61310,0.00000,-44.30373,0.00000,-86.99484,0.00000,-99.06023,0.00000,-69.50436,1.00000,229556.96215,0.00000,-69.27071,0.00000,-54.46748,0.10000,71.96209,5.98067,89.10464,58.20908,33.16953,0.07453,33.31677,32.98949,0.00963,0.00004,0.00974,0.00957,0.01165,0.00023,0.01203,0.01127,0.00939,0.00019,0.00973,0.00904,0.01232,0.00024,0.01270,0.01193,0.00640,0.00018,0.00668,0.00611,0.01727,0.00042,0.01811,0.01660,0.01078,0.00018,0.01110,0.01049,0.01131,0.00024,0.01171,0.01086,0.00677,0.00009,0.00694,0.00661,23.02167,3.55222,31.22260,13.61644,-5409.84446,261.94123,-4837.63379,-6190.39551,164658.49824,58435.62162,436813.25000,77037.87500,181006.55281,71158.52805,526305.43750,71509.04688,872.58269,511.20669,2932.52222,175.01573,52847032.29500,25300390.41464,156442704.00000,15121305.00000,55029293.03000,26018211.51806,159404400.00000,12572388.00000,-0.62621,0.06584,-0.49326,-0.76414,0.39897,0.05867,0.58355,0.30200,0.45144,0.17793,0.91242,0.07645,-5.34275,1.37915,-2.90796,-9.45266,3.91305,0.59820,5.53970,2.68668,4.39521,2.06254,7.76291,0.35315,9.58823,1.94982,15.53916,5.18754,8.71580,1.05740,10.98324,6.56214,8.50975,1.57901,13.93303,5.12057,14.66879,2.74409,19.89648,9.86157,16.13501,4.47236,28.07668,7.66330,10.00497,1.46293,14.09728,6.34168,8.71836,1.16263,11.82515,6.32384,5.97428,1.62945,9.29029,2.65460,9.06235,0.85167,10.83074,6.92942,6.06105,0.65948,7.90500,4.75359,40.02488,9.32771,64.45508,23.68572,-6.14443,1.43810,-3.51948,-11.36031,0.63987,0.11786,0.82410,0.37684,2.32991,0.15420,2.68828,2.02934,8.44259,0.87972,10.48415,6.61952,-11.49019,4.30417,-4.96141,-24.88752
106,8.87037992477417,254000,23678.05938,283346.28468,21356.93107,0.01068,8.85610,0.00355,0.00000,-65.15295,0.00000,-91.45635,0.00000,-85.53112,0.00000,-46.59066,0.00000,-79.79518,0.00000,-99.40199,0.00000,-66.06698,1.00000,237437.03011,0.00000,-67.78155,0.00000,-54.65956,0.10000,72.81626,6.72755,93.23177,57.23949,33.19659,0.13344,33.38527,32.98901,0.01011,0.00024,0.01050,0.00974,0.01248,0.00025,0.01288,0.01203,0.01008,0.00019,0.01040,0.00973,0.01314,0.00023,0.01348,0.01271,0.00694,0.00015,0.00719,0.00668,0.01866,0.00027,0.01917,0.01812,0.01141,0.00016,0.01166,0.01110,0.01214,0.00023,0.01252,0.01172,0.00717,0.00014,0.00742,0.00694,21.95524,3.66695,31.00732,15.49374,-5503.22456,275.22193,-4682.39551,-6257.56104,176534.03480,59849.84218,414187.50000,72491.30469,162701.89711,56536.99473,486366.34375,68841.89062,856.69409,465.88176,4526.41748,177.55707,55759008.03500,27246634.67246,153848592.00000,10157041.00000,43722338.38500,21311231.34625,148270592.00000,13951550.00000,-0.67065,0.09789,-0.45771,-0.81905,0.38419,0.03833,0.50157,0.30268,0.48634,0.19225,1.08982,0.14196,-5.87708,1.20467,-2.99846,-9.52539,4.07242,0.67451,6.06064,2.37212,8.21322,1.54067,11.84946,4.98348,10.00412,1.59858,15.87636,7.71636,8.38873,1.19436,11.33490,6.04499,8.21671,1.80493,13.96765,5.44521,13.77979,2.55440,22.31544,9.20793,12.12401,2.40485,17.56434,6.05035,9.06039,1.53163,13.41768,6.10779,8.25524,1.19785,11.05611,5.31162,6.67713,1.64540,10.33677,3.29633,8.87918,0.87783,11.02248,7.23704,5.31404,0.44995,6.96258,4.30038,46.63148,9.22430,70.71111,28.29067,-5.68132,1.21768,-3.49174,-9.62878,0.70370,0.14055,1.10932,0.41427,2.20835,0.15678,2.61108,1.99468,8.98792,1.17843,12.56862,5.98621,-9.93743,4.10028,-3.63746,-18.63814
107,8.210202693939209,256000,27184.86348,325684.31074,15298.62523,0.14838,8.05775,0.00403,0.00000,-52.72459,0.00000,-91.42236,0.00000,-85.28257,0.00000,-49.93428,0.00000,-93.12577,0.00000,-101.06280,0.00000,-69.25577,1.00000,272513.82239,0.00000,-67.76972,0.00000,-54.60972,0.10000,73.08663,6.54872,90.08941,56.11267,33.56188,0.14931,33.83858,33.25280,0.01084,0.00019,0.01117,0.01050,0.01321,0.00017,0.01346,0.01289,0.01075,0.00019,0.01107,0.01041,0.01367,0.00008,0.01376,0.01348,0.00741,0.00014,0.00766,0.00719,0.01964,0.00027,0.02014,0.01917,0.01188,0.00012,0.01208,0.01167,0.01287,0.00020,0.01320,0.01252,0.00770,0.00014,0.00793,0.00742,17.20611,3.30398,22.84403,9.47947,-5602.95496,277.75070,-4894.58936,-6416.68896,173702.12965,59644.00292,484355.84375,82591.58594,169424.86305,58674.59951,417367.56250,72364.96094,881.40257,448.71663,2284.30054,216.01219,49933308.93000,23717481.02383,135474848.00000,15974047.00000,49244189.39000,24359636.23608,129040344.00000,12287291.00000,-0.62166,0.04252,-0.55819,-0.72589,0.29329,0.02424,0.44471,0.24178,0.48142,0.14531,0.76342,0.18169,-3.60224,0.88631,-2.03994,-9.45534,4.12807,0.64305,5.68557,1.90254,7.67682,1.54338,12.02862,4.43614,7.80872,2.00732,12.36164,4.23036,8.20596,1.18535,10.25740,4.80219,5.42535,1.76762,8.94845,1.87542,12.62725,2.23143,17.91468,8.35404,10.94017,1.58501,14.05423,7.29756,7.44280,1.00722,9.88003,4.96617,7.43719,1.08609,9.46717,4.77938,6.94819,1.53358,10.83333,4.26039,7.86405,0.79141,9.18517,6.00671,4.76135,0.36931,5.83120,4.05230,32.91694,5.56721,52.19506,19.01674,-5.81922,1.17966,-3.30250,-10.48153,0.62180,0.08477,0.84827,0.40623,2.08341,0.11019,2.26555,1.81926,7.52478,0.81856,10.16944,4.86434,-6.27312,1.56715,-3.41493,-10.96798
